"DATE","TIME PERIOD","Government debt (consolidated) (GFS.Q.N.DE.W0.S13.S1.C.L.LE.GD.T._Z.XDC._T.F.V.N._T)"
"1999-03-31","1999Q1"
"1999-06-30","1999Q2"
"1999-09-30","1999Q3"
"1999-12-31","1999Q4"
"2000-03-31","2000Q1","1265509"
"2000-06-30","2000Q2","1263880"
"2000-09-30","2000Q3","1274377"
"2000-12-31","2000Q4","1261585"
"2001-03-31","2001Q1","1248262"
"2001-06-30","2001Q2","1244791"
"2001-09-30","2001Q3","1260424"
"2001-12-31","2001Q4","1274759"
"2002-03-31","2002Q1","1296953"
"2002-06-30","2002Q2","1301700"
"2002-09-30","2002Q3","1320708"
"2002-12-31","2002Q4","1330083"
"2003-03-31","2003Q1","1362302"
"2003-06-30","2003Q2","1379783"
"2003-09-30","2003Q3","1403138"
"2003-12-31","2003Q4","1419426"
"2004-03-31","2004Q1","1462632"
"2004-06-30","2004Q2","1472314"
"2004-09-30","2004Q3","1490971"
"2004-12-31","2004Q4","1489671"
"2005-03-31","2005Q1","1517899"
"2005-06-30","2005Q2","1532092"
"2005-09-30","2005Q3","1553598"
"2005-12-31","2005Q4","1561021"
"2006-03-31","2006Q1","1580419"
"2006-06-30","2006Q2","1592812"
"2006-09-30","2006Q3","1610704"
"2006-12-31","2006Q4","1610904"
"2007-03-31","2007Q1","1613974"
"2007-06-30","2007Q2","1632336"
"2007-09-30","2007Q3","1612995"
"2007-12-31","2007Q4","1619065"
"2008-03-31","2008Q1","1637562"
"2008-06-30","2008Q2","1673211"
"2008-09-30","2008Q3","1668645"
"2008-12-31","2008Q4","1687442"
"2009-03-31","2009Q1","1717521"
"2009-06-30","2009Q2","1783016"
"2009-09-30","2009Q3","1791087"
"2009-12-31","2009Q4","1804696"
"2010-03-31","2010Q1","1824334"
"2010-06-30","2010Q2","1865708"
"2010-09-30","2010Q3","1891870"
"2010-12-31","2010Q4","2119242"
"2011-03-31","2011Q1","2121907"
"2011-06-30","2011Q2","2133982"
"2011-09-30","2011Q3","2149724"
"2011-12-31","2011Q4","2155876"
"2012-03-31","2012Q1","2185517"
"2012-06-30","2012Q2","2231751"
"2012-09-30","2012Q3","2226545"
"2012-12-31","2012Q4","2234803"
"2013-03-31","2013Q1","2223147"
"2013-06-30","2013Q2","2221896"
"2013-09-30","2013Q3","2202517"
"2013-12-31","2013Q4","2220281"
"2014-03-31","2014Q1","2210656"
"2014-06-30","2014Q2","2217507"
"2014-09-30","2014Q3","2219825"
"2014-12-31","2014Q4","2224559"
"2015-03-31","2015Q1","2230448"
"2015-06-30","2015Q2","2195535"
"2015-09-30","2015Q3","2197347"
"2015-12-31","2015Q4","2197474"
"2016-03-31","2016Q1","2207034"
"2016-06-30","2016Q2","2210629"
"2016-09-30","2016Q3","2204211"
"2016-12-31","2016Q4","2182375"
"2017-03-31","2017Q1","2158507"
"2017-06-30","2017Q2","2153240"
"2017-09-30","2017Q3","2148063"
"2017-12-31","2017Q4","2132784"
"2018-03-31","2018Q1","2111454"
"2018-06-30","2018Q2","2097484"
"2018-09-30","2018Q3","2098484"
"2018-12-31","2018Q4","2086432"
"2019-03-31","2019Q1","2097790"
"2019-06-30","2019Q2","2088954"
"2019-09-30","2019Q3","2106165"
"2019-12-31","2019Q4","2075743"
"2020-03-31","2020Q1","2120908"
"2020-06-30","2020Q2","2291245"
"2020-09-30","2020Q3","2365655"
"2020-12-31","2020Q4","2347758"
"2021-03-31","2021Q1","2377089"
"2021-06-30","2021Q2","2427268"
"2021-09-30","2021Q3","2461327"
"2021-12-31","2021Q4","2503656"
"2022-03-31","2022Q1","2506057"
"2022-06-30","2022Q2","2543944"
"2022-09-30","2022Q3","2557425"
"2022-12-31","2022Q4","2570847"
"2023-03-31","2023Q1","2597693"
"2023-06-30","2023Q2","2595817"
"2023-09-30","2023Q3","2637950"
"2023-12-31","2023Q4","2632104"
"2024-03-31","2024Q1","2639758"
"2024-06-30","2024Q2","2635750"
"2024-09-30","2024Q3","2672337"
"2024-12-31","2024Q4","2688879"
