"DATE","TIME PERIOD","Government total expenditure (seasonally adjusted) (GFS.Q.Y.DE.W0.S13.S1.P.D.OTE._Z._Z._T.XDC._Z.S.V.N._T)"
"1999-03-31","1999Q1"
"1999-06-30","1999Q2"
"1999-09-30","1999Q3"
"1999-12-31","1999Q4"
"2000-03-31","2000Q1"
"2000-06-30","2000Q2"
"2000-09-30","2000Q3"
"2000-12-31","2000Q4"
"2001-03-31","2001Q1"
"2001-06-30","2001Q2"
"2001-09-30","2001Q3"
"2001-12-31","2001Q4"
"2002-03-31","2002Q1","265200"
"2002-06-30","2002Q2","267201"
"2002-09-30","2002Q3","268114"
"2002-12-31","2002Q4","272123"
"2003-03-31","2003Q1","270331"
"2003-06-30","2003Q2","272255"
"2003-09-30","2003Q3","273793"
"2003-12-31","2003Q4","270723"
"2004-03-31","2004Q1","272583"
"2004-06-30","2004Q2","269453"
"2004-09-30","2004Q3","269411"
"2004-12-31","2004Q4","265634"
"2005-03-31","2005Q1","274174"
"2005-06-30","2005Q2","273407"
"2005-09-30","2005Q3","271897"
"2005-12-31","2005Q4","270515"
"2006-03-31","2006Q1","276805"
"2006-06-30","2006Q2","274036"
"2006-09-30","2006Q3","273532"
"2006-12-31","2006Q4","274900"
"2007-03-31","2007Q1","277524"
"2007-06-30","2007Q2","273834"
"2007-09-30","2007Q3","275736"
"2007-12-31","2007Q4","279785"
"2008-03-31","2008Q1","285523"
"2008-06-30","2008Q2","286382"
"2008-09-30","2008Q3","285002"
"2008-12-31","2008Q4","293372"
"2009-03-31","2009Q1","293436"
"2009-06-30","2009Q2","299434"
"2009-09-30","2009Q3","304531"
"2009-12-31","2009Q4","307418"
"2010-03-31","2010Q1","305549"
"2010-06-30","2010Q2","308201"
"2010-09-30","2010Q3","338372"
"2010-12-31","2010Q4","306585"
"2011-03-31","2011Q1","309483"
"2011-06-30","2011Q2","310519"
"2011-09-30","2011Q3","312464"
"2011-12-31","2011Q4","311597"
"2012-03-31","2012Q1","312956"
"2012-06-30","2012Q2","314912"
"2012-09-30","2012Q3","317786"
"2012-12-31","2012Q4","316852"
"2013-03-31","2013Q1","321330"
"2013-06-30","2013Q2","324372"
"2013-09-30","2013Q3","325512"
"2013-12-31","2013Q4","323386"
"2014-03-31","2014Q1","327890"
"2014-06-30","2014Q2","330144"
"2014-09-30","2014Q3","333463"
"2014-12-31","2014Q4","336836"
"2015-03-31","2015Q1","340024"
"2015-06-30","2015Q2","343008"
"2015-09-30","2015Q3","340969"
"2015-12-31","2015Q4","349291"
"2016-03-31","2016Q1","353328"
"2016-06-30","2016Q2","355902"
"2016-09-30","2016Q3","362114"
"2016-12-31","2016Q4","357912"
"2017-03-31","2017Q1","366984"
"2017-06-30","2017Q2","375510"
"2017-09-30","2017Q3","368038"
"2017-12-31","2017Q4","374021"
"2018-03-31","2018Q1","375528"
"2018-06-30","2018Q2","379577"
"2018-09-30","2018Q3","384224"
"2018-12-31","2018Q4","393999"
"2019-03-31","2019Q1","392259"
"2019-06-30","2019Q2","400430"
"2019-09-30","2019Q3","407891"
"2019-12-31","2019Q4","410035"
"2020-03-31","2020Q1","419290"
"2020-06-30","2020Q2","452233"
"2020-09-30","2020Q3","444760"
"2020-12-31","2020Q4","447501"
"2021-03-31","2021Q1","461024"
"2021-06-30","2021Q2","466328"
"2021-09-30","2021Q3","461299"
"2021-12-31","2021Q4","475651"
"2022-03-31","2022Q1","464062"
"2022-06-30","2022Q2","466369"
"2022-09-30","2022Q3","488873"
"2022-12-31","2022Q4","518160"
"2023-03-31","2023Q1","496377"
"2023-06-30","2023Q2","501008"
"2023-09-30","2023Q3","510307"
"2023-12-31","2023Q4","517278"
"2024-03-31","2024Q1","525510"
"2024-06-30","2024Q2","530565"
"2024-09-30","2024Q3","535580"
"2024-12-31","2024Q4","539972"
